"step","time","part","epoch","chagas_auroc","chagas_auprc","chagas_accuracy","chagas_f_measure","chagas_tpr","challenge_score","loss","lr"
13,"2026-02-12 21:41:47.668522","train",0,0.5603824202133345,0.08224948725431222,0.9329517579721995,0.0,0.0,0.054878048780487805,"",""
13,"2026-02-12 21:42:11.171533","val",0,0.5116020343293071,0.02203216149807581,0.9811320754716981,0.0,0.0,0.0,"",""
26,"2026-02-12 21:43:03.739583","train",1,0.6858901049571408,0.14070315299016298,0.9329517579721995,0.0,0.0,0.14634146341463414,"",""
26,"2026-02-12 21:43:27.018399","val",1,0.587730451366815,0.025473755913161023,0.9811320754716981,0.0,0.0,0.0,"",""
39,"2026-02-12 21:44:19.689899","train",2,0.740484919091084,0.2327543492820699,0.937448896156991,0.12571428571428572,0.06707317073170732,0.21341463414634146,"",""
39,"2026-02-12 21:44:42.878709","val",2,0.7277495232040687,0.07231568898191043,0.9811320754716981,0.0,0.0,0.2727272727272727,"",""
52,"2026-02-12 21:45:35.359058","train",3,0.8094899638742225,0.27823244304839456,0.929272281275552,0.2100456621004566,0.1402439024390244,0.2073170731707317,"",""
52,"2026-02-12 21:45:58.611685","val",3,0.7960902733630006,0.18576432693327538,0.9725557461406518,0.2,0.18181818181818182,0.18181818181818182,"",""
65,"2026-02-12 21:46:51.029152","train",4,0.8841329813385777,0.3840530389815982,0.8205233033524121,0.3515509601181684,0.725609756097561,0.31097560975609756,"",""
65,"2026-02-12 21:47:14.232670","val",4,0.8933566433566433,0.1850095351783308,0.8284734133790738,0.13793103448275862,0.7272727272727273,0.36363636363636365,"",""
78,"2026-02-12 21:48:06.774316","train",5,0.935871400782369,0.5461239141509472,0.6835650040883074,0.29250457038391225,0.975609756097561,0.42073170731707316,"",""
78,"2026-02-12 21:48:29.973240","val",5,0.8914494596312778,0.2660592018816422,0.6706689536878216,0.09433962264150944,0.9090909090909091,0.7272727272727273,"",""
91,"2026-02-12 21:49:22.500845","train",6,0.9186021034180544,0.5087575765310701,0.27023712183156173,0.155229531471841,1.0,0.43902439024390244,"",""
91,"2026-02-12 21:49:45.790234","val",6,0.8234265734265734,0.16815818653381215,0.2469982847341338,0.04772234273318872,1.0,0.36363636363636365,"",""
100,"2026-02-12 21:50:09.000593","train",7,"","","","","","",0.6121705834826571,0.0008649989207926915
104,"2026-02-12 21:50:38.406354","train",7,0.9212019837113359,0.5475362977755696,0.47260834014717906,0.19875776397515527,0.975609756097561,0.47560975609756095,"",""
104,"2026-02-12 21:51:01.675622","val",7,0.8520343293070566,0.2243523908866714,0.44939965694682676,0.05865102639296188,0.9090909090909091,0.5454545454545454,"",""
117,"2026-02-12 21:51:54.142942","train",8,0.9465407964772022,0.7061493842652786,0.6537203597710548,0.27420736932305056,0.975609756097561,0.5670731707317073,"",""
117,"2026-02-12 21:52:17.391181","val",8,0.8294659885568977,0.136521047744645,0.58147512864494,0.06870229007633588,0.8181818181818182,0.2727272727272727,"",""
130,"2026-02-12 21:53:09.989935","train",9,0.9581266967358542,0.8130304236543214,0.7820932134096484,0.36471990464839094,0.9329268292682927,0.6341463414634146,"",""
130,"2026-02-12 21:53:33.154013","val",9,0.8971710108073745,0.25973712397641463,0.7735849056603774,0.12,0.8181818181818182,0.5454545454545454,"",""
143,"2026-02-12 21:54:25.826290","train",10,0.9516310040401016,0.7763528362475287,0.8033524121013901,0.38569604086845466,0.9207317073170732,0.6280487804878049,"",""
143,"2026-02-12 21:54:49.052617","val",10,0.8423394787031151,0.267301720536778,0.7684391080617495,0.10596026490066225,0.7272727272727273,0.5454545454545454,"",""
156,"2026-02-12 21:55:41.516892","train",11,0.9616217053932152,0.7952291517025041,0.7228127555192151,0.3165322580645161,0.9573170731707317,0.5914634146341463,"",""
156,"2026-02-12 21:56:04.774816","val",11,0.809758423394787,0.09393830893960987,0.6758147512864494,0.07804878048780488,0.7272727272727273,0.36363636363636365,"",""
